"id","mpg","carName","cylinders","displacement","horsepower","weight","acceleration","modelYear","origin"
37,19,"ford torino 500",6,250,88,3302,15.5,71,1
312,32.1,"chevrolet chevette",4,98,70,2120,15.5,80,1
29,9,"hi 1200d",8,304,193,4732,18.5,70,1
330,44.6,"honda civic 1500 gl",4,91,67,1850,13.8,80,3
71,13,"chrysler newport royal",8,400,190,4422,12.5,72,1
38,18,"amc matador",6,232,100,3288,15.5,71,1
280,29.5,"honda accord lx",4,98,68,2135,16.6,78,3
68,11,"mercury marquis",8,429,208,4633,11,72,1
308,26.8,"oldsmobile omega brougham",6,173,115,2700,12.9,79,1
263,19.2,"chevrolet monte carlo landau",8,305,145,3425,13.2,78,1
272,23.2,"plymouth sapporo",4,156,105,2745,16.7,78,1
311,38.1,"toyota corolla tercel",4,89,60,1968,18.8,80,3
326,44.3,"vw rabbit c (diesel)",4,90,48,2085,21.7,80,2
134,16,"chevrolet chevelle malibu classic",6,250,100,3781,17,74,1
365,26.6,"oldsmobile cutlass ls",8,350,105,3725,19,81,1
278,16.2,"peugeot 604sl",6,163,133,3410,15.8,78,2
379,38,"plymouth horizon miser",4,105,63,2125,14.7,82,1
75,13,"ford gran torino (sw)",8,302,140,4294,16,72,1
262,18.1,"amc concord d/l",6,258,120,3410,15.1,78,1
51,28,"opel 1900",4,116,90,2123,14,71,2
309,33.5,"pontiac phoenix",4,151,90,2556,13.2,79,1
8,14,"plymouth fury iii",8,440,215,4312,8.5,70,1
43,12,"dodge monaco (sw)",8,383,180,4955,11.5,71,1
341,25.8,"dodge aries wagon (sw)",4,156,92,2620,14.4,81,1
59,25,"dodge colt hardtop",4,97.5,80,2126,17,72,1
266,17.5,"dodge magnum xe",8,318,140,4080,13.7,78,1
157,16,"pontiac catalina",8,400,170,4668,11.5,75,1
396,32,"dodge rampage",4,135,84,2295,11.6,82,1
18,21,"ford maverick",6,200,85,2587,16,70,1
340,26.6,"buick skylark",4,151,84,2635,16.4,81,1
120,20,"audi 100ls",4,114,91,2582,14,73,2
145,31,"toyota corona",4,76,52,1649,16.5,74,3
233,16,"ford thunderbird",8,351,149,4335,14.5,77,1
325,40.8,"datsun 210",4,85,65,2110,19.2,80,3
313,37.2,"datsun 310",4,86,65,2019,16.4,80,3
333,29.8,"vokswagen rabbit",4,89,62,1845,15.3,80,2
200,20,"dodge aspen se",6,225,100,3651,17.7,76,1
332,33.8,"subaru dl",4,97,67,2145,18,80,3
289,18.2,"dodge st. regis",8,318,135,3830,15.2,79,1
100,18,"amc hornet",6,232,100,2945,16,73,1
2,15,"buick skylark 320",8,350,165,3693,11.5,70,1
285,20.6,"dodge aspen 6",6,225,110,3360,16.6,79,1
314,28,"chevrolet citation",4,151,90,2678,16.5,80,1
149,26,"fiat 124 tc",4,116,75,2246,14,74,2
363,24.2,"datsun 810 maxima",6,146,120,2930,13.8,81,3
230,16,"pontiac grand prix lj",8,400,180,4220,11.1,77,1
337,23.6,"ford mustang cobra",4,140,"?",2905,14.3,80,1
382,36,"honda accord",4,107,75,2205,14.5,82,3
23,25,"saab 99e",4,104,95,2375,17.5,70,2
265,18.1,"ford futura",8,302,139,3205,11.2,78,1
56,27,"volkswagen model 111",4,97,60,1834,19,71,2
297,27.4,"amc spirit dl",4,121,80,2670,15,79,1
273,23.8,"oldsmobile starfire sx",4,151,85,2855,17.6,78,1
87,14,"amc matador",8,304,150,3672,11.5,73,1
